source_record_id,paper_id,title,authors,year,journal,doi,doi_status,relevance_grade,relevance_score,relevance_reason,must_read,reading_tier,reading_priority,chapter_primary,chapter_secondary,chapter_role,topic_tags,parameter_groups,final_decision,exclusion_reason,verification_flags,notes
B-T-01,B001,Numerical study of the near-field of highly underexpanded turbulent gas jets,Alexey Velikorodny,2012,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2012.05.142,verified,,,,,tier3,,,,,,,keep,,,
B-T-02,B002,Evaluation of notional nozzle approaches for CFD simulations of free-shear under-expanded hydrogen jets,"E. Papanikolaou a, D. Baraldi a,*, M. Kuznetsov b, A. Venetsanos c",2012,,10.1016/j.ijhydene.2012.09.135,verified,,,,,tier2,,,,,,,keep,,,
B-T-03,B003,RESEARCH ARTICLE | JANUARY 08 2013 Large-eddy simulation of highly underexpanded transient gas jets,V. Vuorinen; J. Yu; S. Tirunagari; O. Kaario; M. Larmi; C. Duwig; B. J. Boersma,2013,,10.1063/1.4772192,verified,,,,,tier2,,,,,,,keep,,,
B-T-04,B004,Free underexpanded jets in a quiescent medium: A review,"Erwin Franquet a,b,n, Vincent Perrier b,c, Stéphane Gibout a, Pascal Bruel d,b",2015,,10.1016/j.paerosci.2015.06.006,verified,,,,,tier1,,,,,,,keep,,,
B-T-05,B005,Under-Expanded Jets in Advanced Propulsion Systems—A Review of Latest Theoretical and Experimental Research Activities,"Francesco Duronio, Carlo Villante and Angelo De Vita",2023,,10.3390/en16186471,verified,,,,,tier2,,,,,,,keep,,,
B-H2-01,B006,Transient High-Pressure Hydrogen Jet Measurements,,,,10.4271/2006-01-0652,unverified,,,,,tier3,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
B-H2-02,B007,Ignitability and mixing of underexpanded hydrogen jets,"A.J. Ruggles* , I.W. Ekoto",2012,,10.1016/j.ijhydene.2012.03.063,verified,,,,,tier2,,,,,,,keep,,,
B-H2-03,B008,A Numerical Analysis of Hydrogen Underexpanded Jets Under Real Gas Assumption,,,,10.1115/1.4025253,unverified,,,,,tier2,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
B-H2-04,B009,Large eddy simulation of highly turbulent under-expanded hydrogen and methane jets for gaseous-fuelled internal combustion engines,A. Hamzehloo,2014,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2014.10.016,verified,,,,,tier1,,,,,,,keep,,,
B-H2-05,B010,A comparative study of highly underexpanded nitrogen and hydrogen jets using large eddy simulation,Xiaopeng Li,2016,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.01.120,verified,,,,,tier3,,,,,,,keep,,,
B-H2-06,B011,Gas dynamics and flow characteristics of highly turbulent under-expanded hydrogen and methane jets under various nozzle pressure ratios and ambient pressures,A. Hamzehloo,2016,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.02.017,verified,,,,,tier1,,,,,,,keep,,,
B-H2-07,B012,Numerical modelling of transient under-expanded jets under different ambient thermodynamic conditions with adaptive mesh refinement,A. Hamzehloo,2016,International Journal of Heat and Fluid Flow,10.1016/j.ijheatfluidflow.2016.07.015,verified,,,,,tier2,,,,,,,keep,,,
B-H2-08,B013,Numerical investigation of a high pressure hydrogen jet of 82&nbsp;MPa with adaptive mesh refinement: The starting transient evolution and Mach disk stabilization,Xinmeng Tang,2017,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.01.016,verified,,,,,tier1,,,,,,,keep,,,
B-H2-09,B014,Experimental investigation on the microscopic characteristics of underexpanded transient hydrogen jets,Jianhui Zhao,2020,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.04.140,verified,,,,,tier3,,,,,,,keep,,,
