source_record_id,paper_id,title,authors,year,journal,doi,doi_status,relevance_grade,relevance_score,relevance_reason,must_read,reading_tier,reading_priority,chapter_primary,chapter_secondary,chapter_role,topic_tags,parameter_groups,final_decision,exclusion_reason,verification_flags,notes
C-F-01,C001,Aerobreakup in disturbed subsonic and supersonic flow fields,"T. G. THEOFANOUS, G. J. LI, T. N. DINH and C.-H. CHANG",2007,Journal of Fluid Mechanics,10.1017/S0022112007008853,verified,,,,,tier2,,,,,,,keep,,,
C-F-02,C002,On the physics of aerobreakup,T . G. Theofanous and G. J. Li a/H20850,2008,,10.1063/1.2907989/H20852,verified,,,,,tier2,,,,,,,keep,,,
C-F-03,C003,REVIEW ARTICLE Secondary atomization,D. R. Guildenbecher Æ C. Lo´pez-Rivera Æ,2009,,10.1007/s00348-008-0593-2,verified,,,,,tier3,,,,,,,keep,,,
C-F-04,C004,Aerobreakup of Newtonian and Viscoelastic Liquids,,,,10.1146/annurev-fluid-122109-160638,unverified,,,,,tier1,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
C-F-05,C005,Secondary breakup of a drop at moderate Weber numbers,,,,10.1098/rspa.2014.0930,unverified,,,,,tier3,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
C-F-06,C006,On aerodynamic droplet breakup,"Isaac M. Jackiw1 and Nasser Ashgriz1,†",2021,,10.1017/jfm.2021.7,verified,,,,,tier2,,,,,,,keep,,,
C-F-07,C007,Annual Review of Fluid Mechanics Secondary Atomization of Droplets at Extreme Conditions,Saini Jatin Rao and Saptarshi Basu,2026,,10.1146/annurev-fluid-112823-,verified,,,,,tier1,,,,,,,keep,,,
C-SD-01,C008,Numerical simulations of the early stages of high-speed droplet breakup,J. C. Meng,2015,,10.1007/s00193-014-0546-z,verified,,,,,tier3,,,,,,,keep,,,
C-SD-02,C009,Simulation of drop deformation and breakup in supersonic flow,F. Xiao,2017,,10.1016/j.proci.2016.09.016,verified,,,,,tier3,,,,,,,keep,,,
C-SD-03,C010,Numerical simulation of the aerobreakup of a water droplet,"Jomela C. Meng1,† and Tim Colonius1",2018,,10.1017/jfm.2017.804,verified,,,,,tier2,,,,,,,keep,,,
