source_record_id,paper_id,title,authors,year,journal,doi,doi_status,relevance_grade,relevance_score,relevance_reason,must_read,reading_tier,reading_priority,chapter_primary,chapter_secondary,chapter_role,topic_tags,parameter_groups,final_decision,exclusion_reason,verification_flags,notes
D-IC-01,D001,Effect of Ambient Temperature and Density on Shock Wave Generation in a Diesel Engine,,,,10.1615/AtomizSpr.v20.i2.50,unverified,,,,,tier3,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
D-IC-02,D002,Effect of shock waves on the evolution of high-pressure fuel jets,"Weidi Huang a,b, Zhijun Wu b,⇑, Ya Gao b, Lin Zhang b",2015,,10.1016/j.apenergy.2015.08.053,verified,,,,,tier2,,,,,,,keep,,,
D-IC-03,D003,Potential of a jet-induced shock wave to influence an upstream droplet cloud in compression-ignition engines using multiple injection strategies,,2018,International Journal of Multiphase Flow,10.1016/j.ijmultiphaseflow.2018.01.001,verified,,,,,tier1,,,,,,,keep,,,
D-IC-04,D004,Experimental research on the effect of reflected shock waves on the evolution of a high-pressure diesel spray,Yue Li,2019,,10.1016/j.expthermflusci.2019.01.025,verified,,,,,tier3,,,,,,,keep,,,
D-IC-05,D005,Potential for Shock-Wave Generation at Diesel Engine Conditions and Its Influence on Spray Characteristics,"Weidi Huang, Huifeng Gong, Raditya Hendra Pratama, Seoksu Moon, Keiji Takagi and Zhili Chen",2020,,10.3390/en13236465,verified,,,,,tier2,,,,,,,keep,,,
D-RDE-01,D006,Eulerian[formula omitted]Lagrangian modelling of rotating detonative combustion in partially pre-vaporized n -heptane sprays with hydrogen addition,Qingyang Meng,2021,,10.1016/j.fuel.2020.119808,verified,,,,,tier3,,,,,,,keep,,,
D-RDE-02,D007,Numerical study on rotating detonation stability in two-phase kerosene-air mixture,Zhaoxin Ren,2021,,10.1016/j.combustflame.2021.111484,verified,,,,,tier2,,,,,,,keep,,,
D-RDE-03,D008,Simulations of rotating detonation combustion with in-situ evaporating bi-disperse n -heptane sprays,Shan Jin,2022,,10.1016/j.fuel.2021.123087,verified,,,,,tier3,,,,,,,keep,,,
D-RDE-04,D009,On the propagation stability of droplet-laden two-phase rotating detonation waves,Haocheng Wen,2022,,10.1016/j.combustflame.2022.112271,verified,,,,,tier1,,,,,,,keep,,,
D-RDE-05,D010,Simulation of liquid droplets combustion in a rotating detonation engine,Marc Salvadori,2023,,10.1016/j.proci.2022.09.002,verified,,,,,tier2,,,,,,,keep,,,
D-RDE-06,D011,Effects of droplet evaporation on the flow field of hydrogen-enhanced rotating detonation engines with liquid kerosene,Songbai Yao,2023,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.04.314,verified,,,,,tier2,,,,,,,keep,,,
D-RDE-07,D012,Investigation of multi-stage evaporation and wave multiplicity of two-phase rotating detonation waves fueled by ethanol,Jianghong Li,2023,,10.1016/j.actaastro.2023.08.037,verified,,,,,tier3,,,,,,,keep,,,
D-RDE-08,D013,Effects of the droplet size and engine size on two-phase kerosene/air rotating detonation engines in flight operation conditions,Wenbo Cao,2024,,10.1016/j.actaastro.2024.07.002,verified,,,,,tier2,,,,,,,keep,,,
D-RDE-09,D014,Characterization of droplet kinematics and spatial distribution in a two-phase ethanol-fueled rotating detonation flow field,Jianghong Li,2025,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2025.01.004,verified,,,,,tier2,,,,,,,keep,,,
D-RDE-10,D015,Effect of spray characteristics on the dynamic characteristics and mode distribution pattern of kerosene/air detonation,Wenkai Qin,2026,,10.1016/j.fuel.2026.138720,verified,,,,,tier2,,,,,,,keep,,,
D-DW-01,D016,Breakup characteristics of droplets induced bydetonation waves under different diametersand Mach numbers,Rui Yang (杨锐),2025,,10.1063/5.0253061,verified,,,,,tier2,,,,,,,keep,,,
D-DW-02,D017,Droplet breakup and evaporation in liquid-fueled detonations,Calvin J. Young,2025,,10.1016/j.expthermflusci.2024.111324,verified,,,,,tier1,,,,,,,keep,,,
D-DW-03,D018,Detonation-induced dynamics of RP-3 droplet deformation and breakup,Rui Yang,2026,,10.1016/j.actaastro.2025.11.013,verified,,,,,tier1,,,,,,,keep,,,
D-DW-04,D019,Comparative analysis of detonation and shock waves interacting with droplets: Characteristics and mechanisms,,,,10.1103/mp9z-tlk3,unverified,,,,,tier1,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
