paper_id,reading_tier,library,source_record_id,pdf_relpath,page_count,pdf_sha256,inventory_match,identity_verified,machine_readable,note_complete,extraction_complete,evidence_card_complete,status
A007,tier1,A,A-NG-07,02_PDF_Raw/A/A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,8,C7F72E7E13244B2B52C60888FBC07B89C1143728E98F8FFC9419AB8C3C99788F,yes,yes,yes,yes,yes,yes,PASS
B021,tier1,B,B-E-01,02_PDF_Raw/B/B-E-01_2023_Anaclerio_Numerical_Underexpanded_HydrogenJets_ICE.pdf,17,C7B3FC096C2F8CA4DFA6E9BF1F5ECA317886C8E80E3909F92E6F3467347E0207,yes,yes,yes,yes,yes,yes,PASS
C029,tier1,C,C-PC-03,02_PDF_Raw/C/C-PC-03_2021_Boyd_Transcritical_ShockDroplet_Interaction.pdf,44,4C075E6B76536673A6A50CFFE286F3A7C3A41761C73BFAC6332106778A372103,yes,yes,yes,yes,yes,yes,PASS
D019,tier1,D,D-DW-04,02_PDF_Raw/D/D-DW-04_2026_Zou_DetonationShock_DropletInteraction_Mechanisms.pdf,28,C1C6CBF9BE0F24D2DB1F13DC3BA7BAB6B1DFBECED35495EAE0B859F35313C546,yes,yes,yes,yes,yes,yes,PASS
A002,tier2,A,A-NG-02,02_PDF_Raw/A/A-NG-02_2015_McTaggartCowan_NaturalGasInjection_600Bar_HPDI.pdf,16,95F4B0054102EC48EDC4A9F5347D8192C9202E0389A6D486BC68E4E071C036D9,yes,yes,yes,yes,yes,yes,PASS
A005,tier2,A,A-NG-05,02_PDF_Raw/A/A-NG-05_2016_Mabson_PairedNozzle_Jets_HPDI_NaturalGas.pdf,16,ADA0E2AF53D7028CA4E44C10A0B9DE51A8EF3FF9F4F6E0233192ACD5117C73AE,yes,yes,yes,yes,yes,yes,PASS
A009,tier2,A,A-NG-09,02_PDF_Raw/A/A-NG-09_2019_Fink_DieselPiloted_NG_DirectInjection_OperatingConditions.pdf,8,4CFC85C754EFB49B204032258D3505167BD4382FBE47A969B4ED0CAE7A867729,yes,yes,yes,yes,yes,yes,PASS
A011,tier2,A,A-NG-11,02_PDF_Raw/A/A-NG-11_2020_Rochussen_ParametricStudy_Optical_HPDI_NG.pdf,17,BB53CC6A37B7A4CADB075EDD83BB6C3F86AF4913D7796A45082FE3803CC4CF91,yes,yes,yes,yes,yes,yes,PASS
A012,tier2,A,A-NG-12,02_PDF_Raw/A/A-NG-12_2021_Diepstraten_PilotDiesel_MainNG_Interaction_HPDI.pdf,9,C47046958F79B642A9B087446C2EA468C0C1B3A9EEC5DB066A93E7E1856A2D77,yes,yes,yes,yes,yes,yes,PASS
B008,tier2,B,B-H2-03,02_PDF_Raw/B/B-H2-03_2013_Bonelli_Hydrogen_UnderexpandedJets_RealGas.pdf,11,7DF540DB8E1B2E71DA0A663982632206764DE79CC83C19CD0A671B97D32D084C,yes,yes,yes,yes,yes,yes,PASS
C036,tier2,C,C-MD-04,02_PDF_Raw/C/C-MD-04_2026_Guo_ShockInduced_ParallelDroplets_Aerobreakup.pdf,19,21898269FB0E98F3EDB3A2EA1D808A6813BFF8CDA43FE30622B532D32A97CA7F,yes,yes,yes,yes,yes,yes,PASS
A001,tier3,A,A-NG-01,02_PDF_Raw/A/A-NG-01_2007_McTaggartCowan_HighPressureInjection_NaturalGasEngine.pdf,10,3590ED096D6460069FC7FCA821CDE98231CAC40424497D28F9E5272BAFDEE897,yes,yes,yes,yes,yes,yes,PASS
A006,tier3,A,A-NG-06,02_PDF_Raw/A/A-NG-06_2017_Faghani_InjectionStrategies_SlightlyPremixed_Combustion.pdf,14,2AD8F65F99D1A8A83DBB84C5003A6C7FFD61182878CF52C94B9C3906D5DCBB4F,yes,yes,yes,yes,yes,yes,PASS
A008,tier3,A,A-NG-08,02_PDF_Raw/A/A-NG-08_2018_Jud_NumericalAnalysis_DualFuel_DirectInjection_NG.pdf,12,1046ABA4F4F3C29889E53F1C1350E61AE9F0BC1DC979C7E201368180B04D3CA2,yes,yes,yes,yes,yes,yes,PASS
B006,tier3,B,B-H2-01,02_PDF_Raw/B/B-H2-01_2006_Petersen_Transient_HighPressure_HydrogenJet.pdf,13,F64BD9251029610DC31FF93AF46145778883D81FC653446567E67BB0A748D4C3,yes,yes,yes,yes,yes,yes,PASS
B018,tier3,B,B-NG-03,02_PDF_Raw/B/B-NG-03_2020_Allocca_Underexpanded_GaseousJets_DI_Engines.pdf,15,C2D4E7E44BEE32722930231990D4268F2D902429AC9B5B75562B96EE39AA420C,yes,yes,yes,yes,yes,yes,PASS
C005,tier3,C,C-F-05,02_PDF_Raw/C/C-F-05_2015_Jain_SecondaryBreakup_Moderate_WeberNumbers.pdf,25,6D10FAC6C13A8ECCF640E862D610F53333445BBFDB9AE93D88094580BF6C6E5D,yes,yes,yes,yes,yes,yes,PASS
C011,tier3,C,C-SD-04,02_PDF_Raw/C/C-SD-04_2018_Guan_Droplet_InternalFlow_ShockImpact.pdf,6,6799D2D184240E1718DBF6DDBC71E5DC7C3505AE9F0333B8BDBB3D3039D598B1,yes,yes,yes,yes,yes,yes,PASS
D001,tier3,D,D-IC-01,02_PDF_Raw/D/D-IC-01_2010_Kook_AmbientTemperatureDensity_ShockWave_DieselEngine.pdf,13,BEEFD44A012067421EC6B31ED307BA42CEFB045FA08359AC981F16AA9ACD1D7A,yes,yes,yes,yes,yes,yes,PASS
