paper_id,source_record_id,library,expected_record,current_filename,current_relpath,file_exists,file_size_bytes,page_count,pdf_readable,pdf_status,pdf_match_status,identity_basis,verification_flags,notes
A001,A-NG-01,A,yes,A-NG-01_2007_McTaggartCowan_HighPressureInjection_NaturalGasEngine.pdf,02_PDF_Raw/A/A-NG-01_2007_McTaggartCowan_HighPressureInjection_NaturalGasEngine.pdf,yes,1036464,10,yes,downloaded,matched,source_record_id_filename;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf,title_not_verified,
A002,A-NG-02,A,yes,A-NG-02_2015_McTaggartCowan_NaturalGasInjection_600Bar_HPDI.pdf,02_PDF_Raw/A/A-NG-02_2015_McTaggartCowan_NaturalGasInjection_600Bar_HPDI.pdf,yes,4498212,16,yes,downloaded,matched,source_record_id_filename;first_author_front_matter;year_front_matter;doi_pdf,title_not_verified,
A003,A-NG-03,A,yes,A-NG-03_2015_Li_Performance_HeatRelease_PilotIgnited_NG.pdf,02_PDF_Raw/A/A-NG-03_2015_Li_Performance_HeatRelease_PilotIgnited_NG.pdf,yes,1324633,10,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A004,A-NG-04,A,yes,A-NG-04_2015_Zhang_Combustion_Emissions_DirectInjected_NG_PilotDiesel.pdf,02_PDF_Raw/A/A-NG-04_2015_Zhang_Combustion_Emissions_DirectInjected_NG_PilotDiesel.pdf,yes,1179715,12,yes,downloaded,matched,source_record_id_filename;front_matter_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A005,A-NG-05,A,yes,A-NG-05_2016_Mabson_PairedNozzle_Jets_HPDI_NaturalGas.pdf,02_PDF_Raw/A/A-NG-05_2016_Mabson_PairedNozzle_Jets_HPDI_NaturalGas.pdf,yes,3355759,16,yes,downloaded,matched,source_record_id_filename;first_author_front_matter;year_front_matter;doi_pdf,title_not_verified,
A006,A-NG-06,A,yes,A-NG-06_2017_Faghani_InjectionStrategies_SlightlyPremixed_Combustion.pdf,02_PDF_Raw/A/A-NG-06_2017_Faghani_InjectionStrategies_SlightlyPremixed_Combustion.pdf,yes,2405760,14,yes,downloaded,matched,source_record_id_filename;first_author_front_matter;year_front_matter;doi_pdf,title_not_verified,
A007,A-NG-07,A,yes,A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,02_PDF_Raw/A/A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,yes,3078270,8,yes,downloaded,matched,source_record_id_filename;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf,title_not_verified,
A008,A-NG-08,A,yes,A-NG-08_2018_Jud_NumericalAnalysis_DualFuel_DirectInjection_NG.pdf,02_PDF_Raw/A/A-NG-08_2018_Jud_NumericalAnalysis_DualFuel_DirectInjection_NG.pdf,yes,3331778,12,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;title_descriptor_consistent,,
A009,A-NG-09,A,yes,A-NG-09_2019_Fink_DieselPiloted_NG_DirectInjection_OperatingConditions.pdf,02_PDF_Raw/A/A-NG-09_2019_Fink_DieselPiloted_NG_DirectInjection_OperatingConditions.pdf,yes,8898067,8,yes,downloaded,matched,source_record_id_filename;embedded_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A010,A-NG-10,A,yes,A-NG-10_2019_Li_PartiallyPremixed_Combustion_DirectInjection_NG.pdf,02_PDF_Raw/A/A-NG-10_2019_Li_PartiallyPremixed_Combustion_DirectInjection_NG.pdf,yes,6367165,17,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A011,A-NG-11,A,yes,A-NG-11_2020_Rochussen_ParametricStudy_Optical_HPDI_NG.pdf,02_PDF_Raw/A/A-NG-11_2020_Rochussen_ParametricStudy_Optical_HPDI_NG.pdf,yes,5155476,17,yes,downloaded,matched,source_record_id_filename;embedded_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf,,
A012,A-NG-12,A,yes,A-NG-12_2021_Diepstraten_PilotDiesel_MainNG_Interaction_HPDI.pdf,02_PDF_Raw/A/A-NG-12_2021_Diepstraten_PilotDiesel_MainNG_Interaction_HPDI.pdf,yes,1720094,9,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;title_descriptor_consistent,,
A013,A-NG-13,A,yes,A-NG-13_2023_Rochussen_HeatRelease_Emissions_Stratified_PIDING.pdf,02_PDF_Raw/A/A-NG-13_2023_Rochussen_HeatRelease_Emissions_Stratified_PIDING.pdf,yes,2117892,21,yes,downloaded,matched,source_record_id_filename;embedded_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A014,A-NG-14,A,yes,A-NG-14_2023_Rochussen_Optical_StratifiedPremixed_NGDI_Combustion.pdf,02_PDF_Raw/A/A-NG-14_2023_Rochussen_Optical_StratifiedPremixed_NGDI_Combustion.pdf,yes,10283117,24,yes,downloaded,matched,source_record_id_filename;embedded_title;front_matter_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
A015,A-NG-15,A,yes,A-NG-15_2023_Chen_OperatingParameters_Soot_HPDI_CombustionModes.pdf,02_PDF_Raw/A/A-NG-15_2023_Chen_OperatingParameters_Soot_HPDI_CombustionModes.pdf,yes,7217248,19,yes,downloaded,matched,source_record_id_filename;embedded_title;embedded_authors;first_author_front_matter;year_front_matter;doi_pdf;title_descriptor_consistent,,
